ma_truong,ten_truong,viet_tat,tinh_thanh,vung_mien
DPX,Trường Đại Học Phú Xuân,PXU,Huế,Miền Trung
DPY,Trường Đại Học Phú Yên,PYU,Đắk Lắk,Miền Trung
DPD,Trường Đại Học Phương Đông,PDU,Hà Nội,Miền Bắc
DPQ,Trường Đại Học Phạm Văn Đồng,PDU,Quảng Ngãi,Miền Trung
DQT,Trường Đại Học Quang Trung,QTU,Gia Lai,Miền Trung
DQN,Trường Đại Học Quy Nhơn,QNU,Gia Lai,Miền Trung
DQB,Trường Đại Học Quảng Bình,QBU,Quảng Trị,Miền Trung
DQU,Trường Đại Học Quảng Nam,QNU,Đà Nẵng,Miền Trung
QSQ,Trường Đại Học Quốc Tế - ĐHQG TPHCM,HCMIU,TP Hồ Chí Minh,Miền Nam
DBH,Trường Đại Học Quốc Tế Bắc Hà,IUBH,Bắc Ninh,Miền Bắc
HIU,Trường Đại Học Quốc Tế Hồng Bàng,HIU,TP Hồ Chí Minh,Miền Nam
EIU,Trường Đại Học Quốc Tế Miền Đông,EIU,TP Hồ Chí Minh,Miền Nam
SGD,Trường Đại Học Sài Gòn,SGU,TP Hồ Chí Minh,Miền Nam
DDS,Trường Đại Học Sư Phạm - Đại Học Đà Nẵng,UED,Đà Nẵng,Miền Trung
DHS,Trường Đại Học Sư Phạm Huế,HUE,Huế,Miền Trung
SPH,Trường Đại Học Sư Phạm Hà Nội,HNUE,Hà Nội,Miền Bắc
SP2,Trường Đại Học Sư Phạm Hà Nội 2,HPU2,Hà Nội,Miền Bắc
SKH,Trường Đại Học Sư Phạm Kỹ Thuật Hưng Yên,UTEHY,Hưng Yên,Miền Bắc
SKN,Trường Đại Học Sư Phạm Kỹ Thuật Nam Định,NUTE,Ninh Bình,Miền Bắc
SKV,Trường Đại Học Sư Phạm Kỹ Thuật Vinh,,Nghệ An,Miền Trung
VLU,Trường Đại Học Sư Phạm Kỹ Thuật Vĩnh Long,VLUTE,Vĩnh Long,Miền Nam
GNT,Trường Đại Học Sư Phạm Nghệ Thuật Trung Ương,NUAE,Hà Nội,Miền Bắc
SPS,Trường Đại Học Sư Phạm TPHCM,HCMUE,TP Hồ Chí Minh,Miền Nam
TDH,Trường Đại Học Sư Phạm Thể Dục Thể Thao Hà Nội,UPES,Hà Nội,Miền Bắc
STS,Trường Đại Học Sư Phạm Thể Dục Thể Thao TPHCM,USH,TP Hồ Chí Minh,Miền Nam
DDB,Trường Đại Học Thành Đông,TDU,Hải Phòng,Miền Bắc
DTB,Trường Đại Học Thái Bình,TBU,Hưng Yên,Miền Bắc
TBD,Trường Đại Học Thái Bình Dương,TBD,Khánh Hòa,Miền Trung
DTL,Trường Đại Học Thăng Long,TLU,Hà Nội,Miền Bắc
TMU,Trường Đại Học Thương Mại,TMU,Hà Nội,Miền Bắc
TDB,Trường Đại Học Thể Dục Thể Thao Bắc Ninh,UPES1,Bắc Ninh,Miền Bắc
TDS,Trường Đại Học Thể Dục Thể Thao TPHCM,,TP Hồ Chí Minh,Miền Nam
TTD,Trường Đại Học Thể Dục Thể Thao Đà Nẵng,DSU,Đà Nẵng,Miền Trung
TLA,Trường Đại Học Thủy Lợi,TLU,Hà Nội,Miền Bắc
TLS,Trường Đại Học Thủy Lợi (Cơ sở 2),TLUS,TP Hồ Chí Minh,Miền Nam
TTG,Trường Đại Học Tiền Giang,TGU,Đồng Tháp,Miền Nam
DVP,Trường Đại Học Trưng Vương,TVUni,Phú Thọ,Miền Bắc
DMS,Trường Đại Học Tài Chính Marketing,UFM,TP Hồ Chí Minh,Miền Nam
FBU,Trường Đại Học Tài Chính Ngân Hàng Hà Nội,FBU,Hà Nội,Miền Bắc
TTB,Trường Đại Học Tây Bắc,UTB,Sơn La,Miền Bắc
TTN,Trường Đại Học Tây Nguyên,TNU,Đắk Lắk,Miền Trung
DTD,Trường Đại Học Tây Đô,TDU,Cần Thơ,Miền Nam
DTT,Trường Đại Học Tôn Đức Thắng,TDTU,TP Hồ Chí Minh,Miền Nam
TDV,Trường Đại Học Vinh,VinhUni,Nghệ An,Miền Trung
VGU,Trường Đại Học Việt Đức,VGU,TP Hồ Chí Minh,Miền Nam
VTT,Trường Đại Học Võ Trường Toản,VTTU,Cần Thơ,Miền Nam
DVH,Trường Đại Học Văn Hiến,VHU,TP Hồ Chí Minh,Miền Nam
VHH,Trường Đại Học Văn Hóa Hà Nội,HUC,Hà Nội,Miền Bắc
VHS,Trường Đại Học Văn Hóa TPHCM,HCMUC,TP Hồ Chí Minh,Miền Nam
DVD,"Trường Đại Học Văn Hóa, Thể Thao Và Du Lịch Thanh Hóa",TUCST,Thanh Hóa,Miền Trung
DVL,Trường Đại Học Văn Lang,VLU,TP Hồ Chí Minh,Miền Nam
XDA,Trường Đại Học Xây Dựng Hà Nội,HUCE,Hà Nội,Miền Bắc
XDT,Trường Đại Học Xây Dựng Miền Trung,MUCE,Đắk Lắk,Miền Trung
MTU,Trường Đại Học Xây Dựng Miền Tây,MTU,Vĩnh Long,Miền Nam
YCT,Trường Đại Học Y Dược Cần Thơ,CTUMP,Cần Thơ,Miền Nam
DHY,Trường Đại Học Y Dược Huế,Hue-UMP,Huế,Miền Trung
YPB,Trường Đại Học Y Dược Hải Phòng,HPMU,Hải Phòng,Miền Bắc
YTB,Trường Đại Học Y Dược Thái Bình,TBUMP,Hưng Yên,Miền Bắc
DTY,Trường Đại Học Y Dược Thái Nguyên,TUMP,Thái Nguyên,Miền Bắc
YHB,Trường Đại Học Y Hà Nội,HMU,Hà Nội,Miền Bắc
TYS,Trường Đại Học Y Khoa Phạm Ngọc Thạch,PNTU,TP Hồ Chí Minh,Miền Nam
YKV,Trường Đại Học Y Khoa Vinh,VMU,Nghệ An,Miền Trung
YTC,Trường Đại Học Y Tế Công Cộng,HUPH,Hà Nội,Miền Bắc
DYD,Trường Đại Học Yersin Đà Lạt,YersinUni,Lâm Đồng,Miền Trung
YDD,Trường Đại Học Điều Dưỡng Nam Định,NDUN,Ninh Bình,Miền Bắc
DDL,Trường Đại Học Điện Lực,EPU,Hà Nội,Miền Bắc
TDL,Trường Đại Học Đà Lạt,DLU,Lâm Đồng,Miền Trung
DAD,Trường Đại Học Đông Á,UDA,Đà Nẵng,Miền Trung
DDU,Trường Đại Học Đông Đô,DDU,Hà Nội,Miền Bắc
DDN,Trường Đại Học Đại Nam,DNU,Hà Nội,Miền Bắc
DNU,Trường Đại Học Đồng Nai,DNU,Đồng Nai,Miền Nam
SPD,Trường Đại Học Đồng Tháp,DThU,Đồng Tháp,Miền Nam
DKC,Trường Đại học Công Nghệ TPHCM,HUTECH,TP Hồ Chí Minh,Miền Nam
DTC,Trường Đại học Công Nghệ Thông Tin và Truyền Thông Thái Nguyên,ICTU,Thái Nguyên,Miền Bắc
DCV,Trường Đại học Công nghiệp Vinh,IUV,Nghệ An,Miền Trung
CCM,Trường Đại học Công nghiệp và Thương mại Hà Nội,HTU,Hà Nội,Miền Bắc
GTA,Trường Đại học Công nghệ Giao thông vận tải,UTT,Hà Nội,Miền Bắc
MIT,Trường Đại học Công nghệ Miền Đông,MITUni,Đồng Nai,Miền Nam
VKU,Trường Đại học Công nghệ Thông tin và Truyền thông Việt Hàn - Đại học Đà Nẵng,VKU,Đà Nẵng,Miền Trung
DHV,Trường Đại học Hùng Vương TPHCM,HVUH,TP Hồ Chí Minh,Miền Nam
DCA,Trường Đại học Intracom,ECOUNI,Hà Nội,Miền Bắc
QSY,Trường Đại học Khoa học sức khỏe TPHCM,UHS,TP Hồ Chí Minh,Miền Nam
UKH,Trường Đại học Khánh Hòa,UKH,Khánh Hòa,Miền Trung
QSK,Trường Đại học Kinh Tế Luật TPHCM,UEL,TP Hồ Chí Minh,Miền Nam
DTE,Trường Đại học Kinh tế và Quản trị kinh doanh Thái Nguyên,TUEBA,Thái Nguyên,Miền Bắc
TKG,Trường Đại học Kiên Giang,KGU,An Giang,Miền Nam
DKS,Trường Đại học Kiểm Sát,HPU,Hà Nội,Miền Bắc
KCC,Trường Đại học Kỹ Thuật Công Nghệ Cần Thơ,CTUT,Cần Thơ,Miền Nam
YDN,Trường Đại học Kỹ thuật Y Dược Đà Nẵng,DUMTP,Đà Nẵng,Miền Trung
DHA,Trường Đại học Luật Huế,HUL,Huế,Miền Trung
QHL,Trường Đại học Luật – ĐHQG Hà Nội,VNU-UL,Hà Nội,Miền Bắc
DNC,Trường Đại học Nam Cần Thơ,NCTU,Cần Thơ,Miền Nam
CEA,Trường Đại học Nghệ An,NAUE,Nghệ An,Miền Trung
NTH,Trường Đại học Ngoại thương,FTU,Hà Nội,Miền Bắc
NTS,Trường Đại học Ngoại thương (Cơ sở II),FTU2,TP Hồ Chí Minh,Miền Nam
DBG,Trường Đại học Nông Lâm Bắc Giang,BAFU,Bắc Ninh,Miền Bắc
DNV,Trường Đại học Nội vụ Hà Nội,,Hà Nội,Miền Bắc
HPU,Trường Đại học Quản lý và Công nghệ Hải Phòng,HPU,Hải Phòng,Miền Bắc
UMT,Trường Đại học Quản lý và công nghệ TPHCM,UMT,TP Hồ Chí Minh,Miền Nam
SIU,Trường Đại học Quốc Tế Sài Gòn,SIU,TP Hồ Chí Minh,Miền Nam
SDU,Trường Đại học Sao Đỏ,SDU,Hải Phòng,Miền Bắc
DSK,Trường Đại học Sư phạm Kỹ thuật - Đại học Đà Nẵng,UTE,Đà Nẵng,Miền Trung
TDD,Trường Đại học Thành Đô,TDU,Hà Nội,Miền Bắc
TDM,Trường Đại học Thủ Dầu Một,TDMU,TP Hồ Chí Minh,Miền Nam
HNM,Trường Đại học Thủ Đô Hà Nội,HNMU,Hà Nội,Miền Bắc
UFA,Trường Đại học Tài Chính Kế Toán,UFA,Quảng Ngãi,Miền Trung
DMT,Trường Đại học Tài Nguyên và Môi Trường Hà Nội,,Hà Nội,Miền Bắc
DTM,Trường Đại học Tài Nguyên và Môi Trường TPHCM,HCMUNRE,TP Hồ Chí Minh,Miền Nam
DFA,Trường Đại học Tài chính Quản trị kinh doanh,UFBA,Hưng Yên,Miền Bắc
TQU,Trường Đại học Tân Trào,TTU,Tuyên Quang,Miền Bắc
TTU,Trường Đại học Tân Tạo,TTU,Tây Ninh,Miền Nam
VJU,Trường Đại học Việt Nhật - ĐHQG Hà Nội,VJU,Hà Nội,Miền Bắc
QHY,Trường Đại học Y Dược - ĐHQG Hà Nội,UMP,Hà Nội,Miền Bắc
BMU,Trường Đại học Y Dược Buôn Ma Thuột,BMTU,Đắk Lắk,Miền Trung
THU,Trường Đại học Y khoa Tokyo Việt Nam,THUV,Hưng Yên,Miền Bắc
DDV,Viện nghiên cứu và đào tạo Việt Anh - Đại học Đà Nẵng,VNUK,Đà Nẵng,Miền Trung
BKA,Đại Học Bách Khoa Hà Nội,HUST,Hà Nội,Miền Bắc
DCN,Đại Học Công Nghiệp Hà Nội,HAUI,Hà Nội,Miền Bắc
TCT,Đại Học Cần Thơ,CTU,Cần Thơ,Miền Nam
DDT,Đại Học Duy Tân,DTU,Đà Nẵng,Miền Trung
KHA,Đại Học Kinh Tế Quốc Dân,NEU,Hà Nội,Miền Bắc
KSA,Đại Học Kinh Tế TPHCM,UEH,TP Hồ Chí Minh,Miền Nam
PKA,Đại Học Phenikaa,PhenikaaUni,Hà Nội,Miền Bắc
DTS,Đại Học Sư Phạm Thái Nguyên,TNUE,Thái Nguyên,Miền Bắc
DVT,Đại Học Trà Vinh,TVU,Vĩnh Long,Miền Nam
YDS,Đại Học Y Dược TPHCM,UMP,TP Hồ Chí Minh,Miền Nam
KSV,Đại học Kinh Tế TPHCM - Phân hiệu Vĩnh Long,,Vĩnh Long,Miền Nam
