ma_to_hop,ten_to_hop,cac_mon,nguon
X71,"Ngữ văn, Lịch sử, Tin học","VAN,SU,TIN",BoGD2025
X72,"Ngữ văn, Lịch sử, Công nghệ công nghiệp","VAN,SU,CN_CN",BoGD2025
X73,"Ngữ văn, Lịch sử, Công nghệ nông nghiệp","VAN,SU,CN_NN",BoGD2025
X74,"Ngữ văn, Địa lý, Giáo dục Kinh tế và pháp luật","VAN,DIA,GDKTPL",BoGD2025
X75,"Ngữ văn, Địa lý, Tin học","VAN,DIA,TIN",BoGD2025
X76,"Ngữ văn, Địa lý, Công nghệ công nghiệp","VAN,DIA,CN_CN",BoGD2025
X77,"Ngữ văn, Địa lý, Công nghệ nông nghiệp","VAN,DIA,CN_NN",BoGD2025
X78,"Ngữ văn, Giáo dục Kinh tế và pháp luật, Tiếng Anh","VAN,GDKTPL,ANH",BoGD2025
X79,"Ngữ văn, Tin học, Tiếng Anh","VAN,TIN,ANH",BoGD2025
X80,"Ngữ văn, Công nghệ công nghiệp, Tiếng Anh","VAN,CN_CN,ANH",BoGD2025
X81,"Ngữ văn, Công nghệ nông nghiệp, Tiếng Anh","VAN,CN_NN,ANH",BoGD2025
X82,"Ngữ văn, Giáo dục Kinh tế và pháp luật, Tiếng Nga","VAN,GDKTPL,NGA",BoGD2025
X83,"Ngữ văn, Tin học, Tiếng Nga","VAN,TIN,NGA",BoGD2025
X84,"Ngữ văn, Công nghệ công nghiệp, Tiếng Nga","VAN,CN_CN,NGA",BoGD2025
X85,"Ngữ văn, Công nghệ nông nghiệp, Tiếng Nga","VAN,CN_NN,NGA",BoGD2025
X86,"Ngữ văn, Giáo dục Kinh tế và pháp luật, Tiếng Pháp","VAN,GDKTPL,PHAP",BoGD2025
X87,"Ngữ văn, Tin học, Tiếng Pháp","VAN,TIN,PHAP",BoGD2025
X88,"Ngữ văn, Công nghệ công nghiệp, Tiếng Pháp","VAN,CN_CN,PHAP",BoGD2025
X89,"Ngữ văn, Công nghệ nông nghiệp, Tiếng Pháp","VAN,CN_NN,PHAP",BoGD2025
X90,"Ngữ văn, Giáo dục Kinh tế và pháp luật, Tiếng Trung","VAN,GDKTPL,TRUNG",BoGD2025
X91,"Ngữ văn, Tin học, Tiếng Trung","VAN,TIN,TRUNG",BoGD2025
X92,"Ngữ văn, Công nghệ công nghiệp, Tiếng Trung","VAN,CN_CN,TRUNG",BoGD2025
X93,"Ngữ văn, Công nghệ nông nghiệp, Tiếng Trung","VAN,CN_NN,TRUNG",BoGD2025
X94,"Ngữ văn, Giáo dục Kinh tế và pháp luật, Tiếng Đức","VAN,GDKTPL,DUC",BoGD2025
X95,"Ngữ văn, Tin học, Tiếng Đức","VAN,TIN,DUC",BoGD2025
X96,"Ngữ văn, Công nghệ công nghiệp, Tiếng Đức","VAN,CN_CN,DUC",BoGD2025
X97,"Ngữ văn, Công nghệ nông nghiệp, Tiếng Đức","VAN,CN_NN,DUC",BoGD2025
X98,"Ngữ văn, Giáo dục Kinh tế và pháp luật, Tiếng Nhật","VAN,GDKTPL,NHAT",BoGD2025
X99,"Ngữ văn, Tin học, Tiếng Nhật","VAN,TIN,NHAT",BoGD2025
Y01,"Ngữ văn, Công nghệ công nghiệp, Tiếng Nhật","VAN,CN_CN,NHAT",BoGD2025
Y02,"Ngữ văn, Công nghệ nông nghiệp, Tiếng Nhật","VAN,CN_NN,NHAT",BoGD2025
Y03,"Ngữ văn, Giáo dục Kinh tế và pháp luật, Tiếng Hàn","VAN,GDKTPL,HAN",BoGD2025
Y04,"Ngữ văn, Tin học, Tiếng Hàn","VAN,TIN,HAN",BoGD2025
Y05,"Ngữ văn, Công nghệ công nghiệp, Tiếng Hàn","VAN,CN_CN,HAN",BoGD2025
Y06,"Ngữ văn, Công nghệ nông nghiệp, Tiếng Hàn","VAN,CN_NN,HAN",BoGD2025
Y07,"Ngữ văn, Giáo dục Kinh tế và pháp luật, Tin học","VAN,GDKTPL,TIN",BoGD2025
Y08,"Ngữ văn, Giáo dục Kinh tế và pháp luật, Công nghệ công nghiệp","VAN,GDKTPL,CN_CN",BoGD2025
Y09,"Ngữ văn, Giáo dục Kinh tế và pháp luật, Công nghệ nông nghiệp","VAN,GDKTPL,CN_NN",BoGD2025
Y10,"Ngữ văn, Tin học, Công nghệ công nghiệp","VAN,TIN,CN_CN",BoGD2025
Y11,"Ngữ văn, Tin học, Công nghệ nông nghiệp","VAN,TIN,CN_NN",BoGD2025
